2026-03-04 14:33:48 | INFO     | data simulation      | Starting Full dataset generation.....
2026-03-04 14:33:49 | INFO     | data simulation      | Batch data saved->C:\Users\HP\ACMGS\data\simulated\batch_data.csv
2026-03-04 14:33:49 | INFO     | data simulation      | Energy signals saved->C:\Users\HP\ACMGS\data\simulated\energy_signals.npy
2026-03-04 14:33:49 | INFO     | data simulation      | DataFrame shape:  (2000, 13)
2026-03-04 14:33:49 | INFO     | data simulation      | Signals shape:    (2000, 128)
2026-03-04 14:33:49 | INFO     | data simulation      | Yield range:      0.516->1.000
2026-03-04 14:33:49 | INFO     | data simulation      | Quality range     0.300->0.932
2026-03-04 14:33:49 | INFO     | data simulation      | Energyrange       171.8->500.0
2026-03-04 14:33:49 | INFO     | data simulation      | Carbon range      82.4->540.7
2026-03-04 18:51:44 | INFO     | energy_dna           | ==================================================
2026-03-04 18:51:44 | INFO     | energy_dna           | ENERGY DNA PIPLINE STARTING
2026-03-04 18:51:44 | INFO     | energy_dna           | ==================================================
2026-03-04 18:51:45 | INFO     | energy_dna           | Signals Loaded shape:(2000, 128, 1)
2026-03-04 18:51:46 | INFO     | energy_dna           | Training device:cuda
2026-03-04 18:51:50 | INFO     | energy_dna           | Epoch[ 10/50] | Avg Loss: 0.897565
2026-03-04 18:51:52 | INFO     | energy_dna           | Epoch[ 20/50] | Avg Loss: 0.658917
2026-03-04 18:51:54 | INFO     | energy_dna           | Epoch[ 30/50] | Avg Loss: 0.149116
2026-03-04 18:51:56 | INFO     | energy_dna           | Epoch[ 40/50] | Avg Loss: 0.066832
2026-03-04 18:51:58 | INFO     | energy_dna           | Epoch[ 50/50] | Avg Loss: 0.061350
2026-03-04 18:51:58 | INFO     | energy_dna           | Training Complete
2026-03-04 18:51:58 | INFO     | energy_dna           | Model Saved->C:\Users\HP\ACMGS\models\saved\lstm_autoencoder.pth
2026-03-04 18:51:58 | INFO     | energy_dna           | Embeddings extracted shape: (2000, 16)
2026-03-04 18:51:58 | INFO     | energy_dna           | Embeddings saved → C:\Users\HP\ACMGS\data\simulated\energy_embeddings.npy
